id,name,uri
langer-lawrence-l,"Langer, Lawrence L.",http://id.loc.gov/authorities/names/n81098032.html
adams-samuel,"Adams, Samuel",
alford-c-fred,"Alford, C. Fred",
almuli-jasa,"Almuli, Jasa",
althausen-deborah,"Althausen, Deborah",
athar-mohad,"Athar, Mohad",
avrahami-monia,"Avrahami, Monia",
baer-ulrich,"Baer, Ulrich",
baranowski-daniel,"Baranowski, Daniel",
barlow-susan,"Barlow, Susan",
barsky-ivy,"Barsky, Ivy",
bauerle-jill,"Bauerle, Jill",
baumann-ulrich,"Baumann, Ulrich",
berkowitz-peter,"Berkowitz, Peter",
bieber-jeff,"Bieber, Jeff",
blech-benjamin,"Blech, Benjamin",
bodenstab-johanna,"Bodenstab, Johanna",
bolkosky-sidney,"Bolkosky, Sidney",
bressler-c-stephen,"Bressler, C. Stephen",
browning-christopher,"Browning, Christopher",
brcker-eva,"Brücker, Eva",
budnitskiy-alex,"Budnitskiy, Alex",
chesmar-terri,"Chesmar, Terri",
conathan-lisa,"Conathan, Lisa",
cormier-caroline,"Cormier, Caroline",
durr-patricia,"Durr, Patricia",
egger-helen,"Egger, Helen",
finkel-evgeny,"Finkel, Evgeny",
finkelstein-laura,"Finkelstein, Laura",
fogelman-eva,"Fogelman, Eva",
fritch-mckenzie,"Fritch, McKenzie",
gerber-mitchel,"Gerber, Mitchel",
gold-nili,"Gold, Nili",
greene-joshua,"Greene, Joshua",
gross-jan,"Gross, Jan",
haushofer-lisa,"Haushofer, Lisa",
hiemesch-wiebke,"Hiemesch, Wiebke",
hirsch-david,"Hirsch, David",
hirsch-marianne,"Hirsch, Marianne",
hitchcock-william,"Hitchcock, William",
holmes-claudia,"Holmes, Claudia",
horowitz-sarah,"Horowitz, Sarah",
howard-karen,"Howard, Karen",
jaiser-constanze,"Jaiser, Constanze",
joskowicz-alexander,"Joskowicz, Alexander",
kacandes-irene,"Kacandes, Irene",
kennedy-patrick,"Kennedy, Patrick",
kipfer-birgit,"Kipfer, Birgit",
klunker-heinz,"Klunker, Heinz",
knezevic-jovana,"Knezevic, Jovana",
knopp-sonja,"Knopp, Sonja",
kofman-gil,"Kofman, Gil",
kraft-robert,"Kraft, Robert",
kremer-s-lillian,"Kremer, S. Lillian",
kriebel-leslie,"Kriebel, Leslie",
langer-lawrence,"Langer, Lawrence",
laor-nathaniel,"Laor, Nathaniel",
laub-dori,"Laub, Dori",
lee-vivian,"Lee, Vivian",
leisawitz-daniel,"Leisawitz, Daniel",
levine-allan,"Levine, Allan",
lurie-daniel,"Lurie, Daniel",
lutjens-jr-richard,"Lutjens, Jr., Richard",
malinow-rachel,"Malinow, Rachel",
marzinka-birgit,"Marzinka, Birgit",
metz-jeremy,"Metz, Jeremy",
miller-judith,"Miller, Judith",
miller-lisa,"Miller, Lisa",
millet-kitty,"Millet, Kitty",
mintz-mark,"Mintz, Mark",
mnch-walter,"Mönch, Walter",
moradof-ilona,"Moradof, Ilona",
mueller-melanie,"Mueller, Melanie",
muhich-barbara,"Muhich, Barbara",
museri-mira,"Museri, Mira",
myers-david,"Myers, David",
neal-rebecca,"Neal, Rebecca",
okeefe-catherine,"O'Keefe, Catherine",
paley-karen,"Paley, Karen",
petit-marianne,"Petit, Marianne",
pinchevsky-amit,"Pinchevsky, Amit",
plotkin-diane,"Plotkin, Diane",
pollard-miranda,"Pollard, Miranda",
pollin-galay-hannah,"Pollin-Galay, Hannah",
programmkino-wuerzburg-eg,"Programmkino Wuerzburg eG, ",
raim-edith,"Raim, Edith",
reich-daniel,"Reich, Daniel",
richman-sophia,"Richman, Sophia",
ringelheim-joan,"Ringelheim, Joan",
rodenhurst-nigel,"Rodenhurst, Nigel",
roskies-david,"Roskies, David",
rubenstein-rachel,"Rubenstein, Rachel",
rudof-joanne,"Rudof, Joanne",
ruedenberg-lucia,"Ruedenberg, Lucia",
saidel-rochelle,"Saidel, Rochelle",
schiffin-deborah,"Schiffin, Deborah",
schwarcz-vera,"Schwarcz, Vera",
sela-tzur-bina,"Sela-Tzur, Bina",
sellars-phillip,"Sellars, Phillip",
shenker-noah,"Shenker, Noah",
shephard-ben,"Shephard, Ben",
siegel-lawrence,"Siegel, Lawrence",
simon-roger,"Simon, Roger",
skitolsky-lissa,"Skitolsky, Lissa",
snyder-timothy,"Snyder, Timothy",
solterer-helen,"Solterer, Helen",
sommer-robert,"Sommer, Robert",
stark-jared,"Stark, Jared",
stein-simcha,"Stein, Simcha",
stier-oren-baruch,"Stier, Oren Baruch",
stone-j-christopher,"Stone, J. Christopher",
storm-margot,"Storm, Margot",
strom-margot,"Strom, Margot",
sugano-maiko,"Sugano, Maiko",
trezke-thomas,"Trezke, Thomas",
university-of-hartford,"University of Hartford, ",
vlack-alex,"Vlack, Alex",
von-harder-burkhard,"von Harder, Burkhard",
wachsmann-nikolaus,"Wachsmann, Nikolaus",
weinding-paul,"Weinding, Paul",
wiedeman-christine,"Wiedeman, Christine",
williams-benn,"Williams, Benn",
wlodarski-amy-lynn,"Wlodarski, Amy Lynn",
young-james,"Young, James",
zeiberg-sharon,"Zeiberg, Sharon",
ziva--pamet-ops,"Ziva  pamet o.p.s, ",
ziyadeh-nadia,"Ziyadeh, Nadia",
