id,author.id,date,publisher,title,type,uri
e6797972,langer-lawrence-l,1991.0,Yale University Press,Holocaust Testimonies: The Ruins of Memory,book,http://hdl.handle.net/10079/bibid/3173985
bae07563,adams-samuel,,,"November 21, 2016 MusicNOW Steve Reich tribute",Audio,
cea3e7b7,alford-c-fred,,,"Trauma, Culture and PTSD ",Monograph,
cbcbe41a,alford-c-fred,,,Trauma and Forgiveness: Consequences and Communities ,,
542f617f,alford-c-fred,,,"Is the Holocaust Traumatic?, in the Journal of Psycho-Social Studies",,
307ded74,alford-c-fred,2009.0,Cambridge University Press,"Testaments of Affliction: The Book of Job, Primo Levi and the Testimony of Holocaust Survivors ",,
cf0d5af9,alford-c-fred,,,"Why Holocaust Testimony is Important, and How Psychoanalytic Interpretation Can Help… But Only to a Point ",,
6e0a4551,almuli-jasa,2012.0,Belgrade,They Stayed Alive ,,
7d6c1e63,almuli-jasa,,,Jews and Serbs in Jasenovac ,,
33457a50,almuli-jasa,2005.0,Belgrade,Jewish Women Speak ,,
4e6e596f,almuli-jasa,2003.0,Belgrade,Oni su preziveli / They Survived ,,
f1cab7b5,almuli-jasa,2003.0,Belgrade,Jews in Jasenovac ,,
bd8788dc,almuli-jasa,2002.0,Belgrade,The Alive and the Dead: Conversation with Jews ,,
5ba5658c,almuli-jasa,,,Amendment to entry on Serbian Chetniks in EOH,,
5759e9cb,althausen-deborah,,,Mehrsprachigkeit und Emotion: Eine qualitative Studie / Multilingualism and Emotion: A Qualitative Study ,,
8775daf9,athar-mohad,,,Coming of Age ,,
9f2238b7,avrahami-monia,,,Testimonies of Survivors as a Means of Learning about the Holocaust ,,
d7e4e53d,baer-ulrich,2002.0,MIT Press,Spectral Evidence: The Photography of Trauma ,,
5591100c,baranowski-daniel,,, 'Ich bin die Stimme der sechs Millionen' ,,
643a2f7c,baranowski-daniel,,,"Presentation by the Foundation Memorial to the Murdered Jews of Europe at the conference 'Bildungsarbeit mit videographierten Zeitzeugerninterviews von Verfolgten un Opfern des nationalsozialistischen Regimes - pädagogische Konzepte, Zugänge und Methoden')",,
f6e6969b,barlow-susan,,,"""Our Local Heritage,"" three-installment column in a Manchester, CT local paper ",,
536c2c2d,barsky-ivy,2007.0,Museum of Jewish Heritage,Daring to Resist: Jewish Defiance in the Holocaust ,,
c5170197,bauerle-jill,,,Columbia journalism master's thesis,,
9c495624,baumann-ulrich,,,"Exhibit ""The Holocaust from the Baltic to the Black Sea 1941-1945""",,
bdf620f7,berkowitz-peter,,,Facing History and Ourselves ,,
d9ac974b,bieber-jeff,,,Jacques Fein Oral History,,
174a10c9,blech-benjamin,2004.0,Wiley & Sons,Eyewitness to Jewish History ,,
d3810a6d,bodenstab-johanna,,,Fortunoff Video Archive / Archiv der Erinnerung ,,
429a8872,bodenstab-johanna,2015.0,Vanderhoeck & Ruprecht,Dramen der Verlorenheit: Mutter-Tochter-Beziehungen in der Shoah ,,
e77c7e8b,bodenstab-johanna,,,Presentation at Gardiner Seminar at Yale Whitney Humanities Center,,
2a3801e5,bodenstab-johanna,,,Presentation for Genocide Studies Program at Yale,,
cd2df853,bodenstab-johanna,,,Presentations at Kassel University and at the Sigmund-Freud-Institut,,
1a9c9533,bodenstab-johanna,,,Presentations at conference and at a Kassel University seminar,,
d8989ca7,bodenstab-johanna,,,Under Siege: A Mother-Daughter Relationship Survives the Holocaust ,,
ee4d2210,bolkosky-sidney,,,High school curriculum for Oakland County Schools,,
65ad813d,bressler-c-stephen,,,"Local TV broadcast of Board of Selectmen's meeting in Brookline, MA",,
7db5a573,browning-christopher,2000.0,Cambridge University Press,"Nazi Policy, Jewish Labor, German Killers ",,
fb2b3b8d,browning-christopher,2010.0,WW Norton,Remembering Survival ,,
91300663,brcker-eva,,,"Personalisierung oder Geschichte aus Perspektive der ""Vielen Einzelnen."" Das ""Offene Archiv"" für Videointerviews mit Überlebenden des Holocaust beim Denkmal für die ermordeten Juden Europas, Berlin ",,
30968726,brcker-eva,,,"From the ""Art of Dialogue"" to the ""Art of Presentation."" At the Memorial to the Murdered Jews of Europe, Berlin, Oral History ",,
deb53257,brcker-eva,,,Acting in the face of persecution: Holocaust survivors and crucial moments of their life stories - outline for a doctoral thesis ,,
be400af4,brcker-eva,,,"Memorial to the Murdered Jews of Europe, permanent exhibit",,
4bee231a,budnitskiy-alex,,,Bolshe Nikogda!/Never Again! ,,
